0,92,67
1,91,67
2,91,68
3,90,68
4,92,66
5,93,65
6,93,66
7,93,66
8,93,65
9,92,66
10,92,65
11,92,65
12,92,65
13,92,65
14,92,64
15,92,63
16,92,62
17,93,61
18,93,61
19,94,60
20,94,59
21,94,59
22,95,58
23,95,57
24,96,56
25,97,56
26,97,55
27,98,54
28,98,54
29,99,53
30,99,53
31,100,52
32,100,51
33,100,51
34,101,50
35,101,51
36,102,51
37,102,51
38,102,50
39,102,51
40,102,50
41,101,51
42,100,51
43,99,52
44,99,52
45,96,53
46,93,54
47,90,56
48,88,57
49,87,57
50,87,57
51,86,57
52,86,57
53,79,61
54,73,63
55,68,64
56,67,65
57,66,65
58,64,65
59,63,66
60,62,66
61,61,67
62,59,67
63,58,67
64,57,68
65,55,68
66,54,69
67,59,69
68,62,70
69,61,70
70,60,71
71,61,70
72,63,68
73,62,69
74,63,67
75,64,65
76,65,63
77,66,61
78,68,60
79,69,58
80,71,56
81,73,55
82,75,53
83,78,52
84,81,50
85,84,49
86,87,48
87,90,47
88,93,47
89,97,46
90,98,45
91,99,45
92,104,45
93,107,45
94,109,44
95,110,44
96,112,43
97,113,42
98,115,42
99,115,44
100,115,45
101,115,46
102,114,47
103,113,48
104,114,48
105,111,49
106,109,50
107,106,51
108,103,51
109,101,51
110,98,51
111,95,51
112,93,51
113,91,50
114,89,50
115,87,50
116,85,50
117,84,49
118,82,49
119,81,49
120,80,48
121,79,48
122,78,48
123,77,48
124,76,48
125,76,48
126,75,48
127,75,48
128,75,48
129,74,48
130,74,48
131,74,48
132,73,48
133,73,48
134,73,48
135,73,48
136,73,48
137,73,48
138,73,48
139,73,48
140,74,48
141,75,48
142,76,48
143,75,48
144,77,48
145,77,48
146,78,48
147,79,48
148,80,48
149,80,48
150,81,48
151,82,48
152,83,48
153,83,48
154,83,48
155,84,48
156,84,48
157,84,48
158,84,48
159,84,48
160,85,48
161,85,48
162,85,48
163,85,48
164,85,49
165,85,50
166,85,50
167,86,51
168,86,51
169,86,52
170,86,53
171,86,54
172,87,55
173,87,55
174,87,55
175,88,57
176,88,58
177,88,58
178,88,59
179,89,59
180,89,60
181,89,60
182,90,60
183,91,60
184,91,61
185,92,61
186,93,61
187,93,62
188,94,62
189,94,62
190,97,63
191,98,64
192,101,66
193,104,67
194,105,68
195,105,68
196,106,69
197,107,69
198,108,70
199,108,71
200,109,71
201,110,72
202,111,72
203,111,73
204,112,73
205,113,74
206,114,74
207,114,75
208,115,75
209,116,76
210,117,76
211,117,77
212,118,78
213,112,64
214,109,60
215,106,59
216,102,57
217,98,56
218,94,55
219,90,54
220,86,54
221,82,53
222,79,53
223,76,53
224,72,53
225,70,53
226,67,54
227,65,54
228,64,54
229,63,55
230,63,56
231,64,57
232,65,59
233,64,59
234,63,59
235,62,59
236,61,59
237,60,59
238,59,59
239,71,62
240,71,62
241,70,62
242,70,63
243,70,63
244,69,63
245,82,63
246,88,64
247,92,65
248,94,64
249,96,64
250,96,64
251,97,63
252,97,63
253,96,63
254,96,62
255,95,62
256,95,61
